Symbol,Maturity,Current Price,Trend,Trend Score,Composite Score,Belief Quality,Quantiment (%),Sentiment,Reference Return (%),Risk,Safety,Safety Score,Healthy Score,Reference Rating,Reference State,Strategic Signal,sharpRatio,Summary,Reference Prices,Category signal
ADSK,MATURE,251.17,Downward,-1,3.58,75,38.04,Bearish,-2.3,Low Risk,Mediate,43.7,48.4,C+,Watchlist,Double Check,-0.018667130577439257,"WATCHLIST: Reference return -2.3%, Safety 43.7/100, Risk: Low Risk","Risk Reference Prices (Current: 251.17) | Lower Warning: 238.61, Lower Danger: 226.05, Upper Warning: 263.73, Upper Danger: 276.29",WATCHLIST
ADP,MATURE,208.52,Downward,-1,0.92,50,40.52,Neutral,-1.21,Low Risk,Mediate,44.0,33.5,D,Underweight,Conservative Allocation,-1.4985731728841512,"WATCHLIST: Reference return -1.2%, Safety 44.0/100, Risk: Low Risk","Risk Reference Prices (Current: 208.52) | Lower Warning: 198.09, Lower Danger: 187.67, Upper Warning: 218.95, Upper Danger: 229.37",WATCHLIST
AXON,MATURE,496.18,Downward,-1,1.23,60,51.77,Neutral,-0.43,High Risk,Caution,0.0,30.7,D,Underweight,Conservative Allocation,-0.0403565945432806,"WATCHLIST: Reference return -0.4%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 496.18) | Lower Warning: 471.37, Lower Danger: 446.56, Upper Warning: 520.99, Upper Danger: 545.8",WATCHLIST
BKR,MATURE,54.26,Upward,1,-2.31,30,64.37,Bullish,2.59,Low Risk,Mediate,57.5,15.0,D,Underweight,Conservative Allocation,0.7803693835103129,"WATCHLIST: Reference return 2.6%, Safety 57.5/100, Risk: Low Risk","Risk Reference Prices (Current: 54.26) | Lower Warning: 51.55, Lower Danger: 48.83, Upper Warning: 56.97, Upper Danger: 59.69",WATCHLIST
BKNG,MATURE,4241.26,Downward,-1,3.53,75,34.49,Bearish,-0.83,Low Risk,Caution,33.7,45.8,C+,Watchlist,Double Check,-0.10410390049324925,"WATCHLIST: Reference return -0.8%, Safety 33.7/100, Risk: Low Risk","Risk Reference Prices (Current: 4241.26) | Lower Warning: 4029.2, Lower Danger: 3817.13, Upper Warning: 4453.32, Upper Danger: 4665.39",WATCHLIST
AVGO,MATURE,322.16,Downward,-1,2.75,65,48.26,Neutral,-0.75,Low Risk,Mediate,52.3,48.3,C+,Watchlist,Double Check,1.2143210235973139,"WATCHLIST: Reference return -0.8%, Safety 52.3/100, Risk: Low Risk","Risk Reference Prices (Current: 322.16) | Lower Warning: 306.05, Lower Danger: 289.94, Upper Warning: 338.27, Upper Danger: 354.38",WATCHLIST
CDNS,MATURE,287.03,Downward,-1,-0.71,35,50.63,Neutral,-0.76,Low Risk,Mediate,40.5,15.9,D,Underweight,Conservative Allocation,0.4729264180992425,"WATCHLIST: Reference return -0.8%, Safety 40.5/100, Risk: Low Risk","Risk Reference Prices (Current: 287.03) | Lower Warning: 272.68, Lower Danger: 258.33, Upper Warning: 301.38, Upper Danger: 315.73",WATCHLIST
CHTR,MATURE,218.19,Upward,1,-1.31,45,51.95,Neutral,-0.72,High Risk,Caution,22.4,9.8,D,Underweight,Conservative Allocation,-1.0525577262375727,"WATCHLIST: Reference return -0.7%, Safety 22.4/100, Risk: High Risk","Risk Reference Prices (Current: 218.19) | Lower Warning: 207.28, Lower Danger: 196.37, Upper Warning: 229.1, Upper Danger: 240.01",WATCHLIST
CTAS,MATURE,194.28,Upward,1,1.17,75,54.11,Neutral,0.61,Low Risk,Mediate,67.8,48.2,C+,Watchlist,Double Check,-0.005264284601707904,"WATCHLIST: Reference return 0.6%, Safety 67.8/100, Risk: Low Risk","Risk Reference Prices (Current: 194.28) | Lower Warning: 184.57, Lower Danger: 174.85, Upper Warning: 203.99, Upper Danger: 213.71",WATCHLIST
CSCO,MATURE,78.33,Upward,1,-0.61,35,47.36,Neutral,-0.14,Low Risk,Safe,71.3,22.4,D,Underweight,Conservative Allocation,1.026931744693303,"WATCHLIST: Reference return -0.1%, Safety 71.3/100, Risk: Low Risk","Risk Reference Prices (Current: 78.33) | Lower Warning: 74.41, Lower Danger: 70.5, Upper Warning: 82.25, Upper Danger: 86.16",WATCHLIST
CCEP,MATURE,100.46,Upward,1,-1.1,55,57.28,Neutral,1.08,Low Risk,Mediate,68.7,25.1,D,Underweight,Conservative Allocation,0.9060935253084911,"WATCHLIST: Reference return 1.1%, Safety 68.7/100, Risk: Low Risk","Risk Reference Prices (Current: 100.46) | Lower Warning: 95.44, Lower Danger: 90.41, Upper Warning: 105.48, Upper Danger: 110.51",WATCHLIST
CTSH,MATURE,60.37,Downward,-1,-0.27,45,33.91,Bearish,-0.81,Low Risk,Mediate,45.1,20.4,D,Underweight,Conservative Allocation,-0.7848455238733895,"WATCHLIST: Reference return -0.8%, Safety 45.1/100, Risk: Low Risk","Risk Reference Prices (Current: 60.37) | Lower Warning: 57.35, Lower Danger: 54.33, Upper Warning: 63.39, Upper Danger: 66.41",WATCHLIST
CMCSA,MATURE,30.16,Upward,1,-0.79,35,55.33,Neutral,1.11,Low Risk,Mediate,59.2,21.5,D,Underweight,Conservative Allocation,-0.2548054994541515,"WATCHLIST: Reference return 1.1%, Safety 59.2/100, Risk: Low Risk","Risk Reference Prices (Current: 30.16) | Lower Warning: 28.65, Lower Danger: 27.14, Upper Warning: 31.67, Upper Danger: 33.18",WATCHLIST
CEG,MATURE,301.77,Downward,-1,1.32,60,43.94,Neutral,-1.16,Low Risk,Caution,31.2,36.4,C,Caution,Risk Mitigation,0.8429749092979635,"WATCHLIST: Reference return -1.2%, Safety 31.2/100, Risk: Low Risk","Risk Reference Prices (Current: 301.77) | Lower Warning: 286.68, Lower Danger: 271.59, Upper Warning: 316.86, Upper Danger: 331.95",WATCHLIST
CPRT,MATURE,34.09,Downward,-1,-1.64,40,47.96,Neutral,-0.41,Low Risk,Caution,32.4,8.2,D,Underweight,Conservative Allocation,-1.6281443956993364,"WATCHLIST: Reference return -0.4%, Safety 32.4/100, Risk: Low Risk","Risk Reference Prices (Current: 34.09) | Lower Warning: 32.39, Lower Danger: 30.68, Upper Warning: 35.79, Upper Danger: 37.5",WATCHLIST
CSGP,MATURE,43.63,Downward,-1,-0.33,45,39.28,Bearish,-2.78,High Risk,Caution,10.3,13.7,D,Underweight,Conservative Allocation,-1.3931153888134689,"WATCHLIST: Reference return -2.8%, Safety 10.3/100, Risk: High Risk","Risk Reference Prices (Current: 43.63) | Lower Warning: 41.45, Lower Danger: 39.27, Upper Warning: 45.81, Upper Danger: 47.99",WATCHLIST
COST,MATURE,1008.43,Upward,1,1.01,65,54.97,Neutral,1.01,Low Risk,Mediate,68.6,46.0,C+,Watchlist,Double Check,0.4727447540369407,"WATCHLIST: Reference return 1.0%, Safety 68.6/100, Risk: Low Risk","Risk Reference Prices (Current: 1008.43) | Lower Warning: 958.01, Lower Danger: 907.59, Upper Warning: 1058.85, Upper Danger: 1109.27",WATCHLIST
CRWD,MATURE,441.78,Downward,-1,3.8,75,44.0,Neutral,-1.53,Low Risk,Caution,23.7,45.5,C+,Watchlist,Double Check,0.6316252342668108,"WATCHLIST: Reference return -1.5%, Safety 23.7/100, Risk: Low Risk","Risk Reference Prices (Current: 441.78) | Lower Warning: 419.69, Lower Danger: 397.6, Upper Warning: 463.87, Upper Danger: 485.96",WATCHLIST
CSX,MATURE,39.3,Upward,1,-0.92,55,55.06,Neutral,0.82,Low Risk,Safe,72.5,26.5,D,Underweight,Conservative Allocation,1.1628840055362804,"WATCHLIST: Reference return 0.8%, Safety 72.5/100, Risk: Low Risk","Risk Reference Prices (Current: 39.30) | Lower Warning: 37.33, Lower Danger: 35.37, Upper Warning: 41.26, Upper Danger: 43.23",WATCHLIST
DDOG,MATURE,124.52,Downward,-1,2.57,65,46.9,Neutral,-2.71,Low Risk,Caution,9.9,39.2,C,Caution,Risk Mitigation,0.5622311825564723,"WATCHLIST: Reference return -2.7%, Safety 9.9/100, Risk: Low Risk","Risk Reference Prices (Current: 124.52) | Lower Warning: 118.29, Lower Danger: 112.07, Upper Warning: 130.75, Upper Danger: 136.97",WATCHLIST
DXCM,MATURE,64.24,Upward,1,-1.21,30,50.7,Neutral,0.18,Low Risk,Caution,37.0,10.5,D,Underweight,Conservative Allocation,-0.09170357914589301,"WATCHLIST: Reference return 0.2%, Safety 37.0/100, Risk: Low Risk","Risk Reference Prices (Current: 64.24) | Lower Warning: 61.03, Lower Danger: 57.82, Upper Warning: 67.45, Upper Danger: 70.66",WATCHLIST
FANG,MATURE,182.37,Upward,1,1.35,75,60.92,Neutral,1.47,Low Risk,Mediate,54.4,49.2,C+,Watchlist,Double Check,0.6649923428188801,"WATCHLIST: Reference return 1.5%, Safety 54.4/100, Risk: Low Risk","Risk Reference Prices (Current: 182.37) | Lower Warning: 173.25, Lower Danger: 164.13, Upper Warning: 191.49, Upper Danger: 200.61",WATCHLIST
DASH,MATURE,161.36,Downward,-1,-2.3,20,34.34,Bearish,-1.32,Low Risk,Caution,24.5,-2.3,D,Underweight,Conservative Allocation,-0.13093783435343528,"WATCHLIST: Reference return -1.3%, Safety 24.5/100, Risk: Low Risk","Risk Reference Prices (Current: 161.36) | Lower Warning: 153.29, Lower Danger: 145.22, Upper Warning: 169.43, Upper Danger: 177.5",WATCHLIST
EA,MATURE,199.24,Downward,-1,-0.42,35,45.95,Neutral,-0.04,Low Risk,Safe,86.3,27.0,D,Underweight,Conservative Allocation,1.4408224500363112,"WATCHLIST: Reference return -0.0%, Safety 86.3/100, Risk: Low Risk","Risk Reference Prices (Current: 199.24) | Lower Warning: 189.28, Lower Danger: 179.32, Upper Warning: 209.2, Upper Danger: 219.16",WATCHLIST
EXC,MATURE,49.82,Upward,1,0.32,60,57.84,Neutral,0.49,Low Risk,Safe,80.6,40.8,C,Caution,Risk Mitigation,0.7076944574783893,"WATCHLIST: Reference return 0.5%, Safety 80.6/100, Risk: Low Risk","Risk Reference Prices (Current: 49.82) | Lower Warning: 47.33, Lower Danger: 44.84, Upper Warning: 52.31, Upper Danger: 54.8",WATCHLIST
FAST,MATURE,45.46,Upward,1,1.08,65,54.49,Neutral,0.65,Low Risk,Mediate,63.4,44.8,C,Caution,Risk Mitigation,0.7958871902051128,"WATCHLIST: Reference return 0.7%, Safety 63.4/100, Risk: Low Risk","Risk Reference Prices (Current: 45.46) | Lower Warning: 43.19, Lower Danger: 40.91, Upper Warning: 47.73, Upper Danger: 50.01",WATCHLIST
FER,MATURE,63.21,Upward,1,-0.76,30,51.09,Neutral,-0.21,Low Risk,Mediate,67.1,19.8,D,Underweight,Conservative Allocation,1.5941952523072531,"WATCHLIST: Reference return -0.2%, Safety 67.1/100, Risk: Low Risk","Risk Reference Prices (Current: 63.21) | Lower Warning: 60.05, Lower Danger: 56.89, Upper Warning: 66.37, Upper Danger: 69.53",WATCHLIST
FTNT,MATURE,83.44,Upward,1,1.19,80,51.61,Neutral,-0.41,Low Risk,Mediate,46.4,43.7,C,Caution,Risk Mitigation,-0.21785825419541885,"WATCHLIST: Reference return -0.4%, Safety 46.4/100, Risk: Low Risk","Risk Reference Prices (Current: 83.44) | Lower Warning: 79.27, Lower Danger: 75.1, Upper Warning: 87.61, Upper Danger: 91.78",WATCHLIST
GEHC,MATURE,70.77,Downward,-1,-1.19,30,43.35,Neutral,-0.83,Low Risk,Mediate,49.9,11.8,D,Underweight,Conservative Allocation,-0.3138257974680857,"WATCHLIST: Reference return -0.8%, Safety 49.9/100, Risk: Low Risk","Risk Reference Prices (Current: 70.77) | Lower Warning: 67.23, Lower Danger: 63.69, Upper Warning: 74.31, Upper Danger: 77.85",WATCHLIST
GILD,MATURE,144.99,Upward,1,-0.71,45,56.62,Neutral,0.85,Low Risk,Safe,70.8,26.3,D,Underweight,Conservative Allocation,0.9922052221916295,"WATCHLIST: Reference return 0.9%, Safety 70.8/100, Risk: Low Risk","Risk Reference Prices (Current: 144.99) | Lower Warning: 137.74, Lower Danger: 130.49, Upper Warning: 152.24, Upper Danger: 159.49",WATCHLIST
HON,MATURE,234.5,Upward,1,-1.0,55,61.44,Bullish,1.97,Low Risk,Safe,70.6,28.4,D,Underweight,Conservative Allocation,0.7395449792647311,"WATCHLIST: Reference return 2.0%, Safety 70.6/100, Risk: Low Risk","Risk Reference Prices (Current: 234.50) | Lower Warning: 222.77, Lower Danger: 211.05, Upper Warning: 246.23, Upper Danger: 257.95",WATCHLIST
IDXX,MATURE,573.82,Downward,-1,-1.03,40,41.22,Neutral,-1.4,Low Risk,Mediate,52.3,15.2,D,Underweight,Conservative Allocation,0.8552788034948203,"WATCHLIST: Reference return -1.4%, Safety 52.3/100, Risk: Low Risk","Risk Reference Prices (Current: 573.82) | Lower Warning: 545.13, Lower Danger: 516.44, Upper Warning: 602.51, Upper Danger: 631.2",WATCHLIST
INSM,MATURE,139.5,Downward,-1,-1.87,20,38.58,Bearish,-2.17,Low Risk,Caution,37.6,2.7,D,Underweight,Conservative Allocation,1.3396835974208516,"WATCHLIST: Reference return -2.2%, Safety 37.6/100, Risk: Low Risk","Risk Reference Prices (Current: 139.50) | Lower Warning: 132.52, Lower Danger: 125.55, Upper Warning: 146.48, Upper Danger: 153.45",WATCHLIST
INTC,MATURE,45.77,Upward,1,1.2,50,53.71,Neutral,0.24,Low Risk,Caution,36.0,36.4,C,Caution,Risk Mitigation,1.2470356359500674,"WATCHLIST: Reference return 0.2%, Safety 36.0/100, Risk: Low Risk","Risk Reference Prices (Current: 45.77) | Lower Warning: 43.48, Lower Danger: 41.19, Upper Warning: 48.06, Upper Danger: 50.35",WATCHLIST
INTU,MATURE,439.96,Downward,-1,1.81,85,30.15,Bearish,-2.86,High Risk,Caution,10.2,37.9,C,Caution,Risk Mitigation,-0.7953213111451415,"WATCHLIST: Reference return -2.9%, Safety 10.2/100, Risk: High Risk","Risk Reference Prices (Current: 439.96) | Lower Warning: 417.96, Lower Danger: 395.96, Upper Warning: 461.96, Upper Danger: 483.96",WATCHLIST
ISRG,MATURE,472.16,Downward,-1,-2.21,20,43.74,Neutral,-0.51,Low Risk,Mediate,61.4,6.8,D,Underweight,Conservative Allocation,-0.02699352194185336,"WATCHLIST: Reference return -0.5%, Safety 61.4/100, Risk: Low Risk","Risk Reference Prices (Current: 472.16) | Lower Warning: 448.55, Lower Danger: 424.94, Upper Warning: 495.77, Upper Danger: 519.38",WATCHLIST
KDP,MATURE,27.41,Upward,1,-2.31,20,50.52,Neutral,-0.25,Low Risk,Mediate,54.4,6.1,D,Underweight,Conservative Allocation,-0.6623736224374069,"WATCHLIST: Reference return -0.2%, Safety 54.4/100, Risk: Low Risk","Risk Reference Prices (Current: 27.41) | Lower Warning: 26.04, Lower Danger: 24.67, Upper Warning: 28.78, Upper Danger: 30.15",WATCHLIST
KLAC,MATURE,1418.64,Upward,1,-0.37,35,54.17,Neutral,2.83,Low Risk,Mediate,48.3,25.8,D,Underweight,Conservative Allocation,1.6039224880611274,"WATCHLIST: Reference return 2.8%, Safety 48.3/100, Risk: Low Risk","Risk Reference Prices (Current: 1418.64) | Lower Warning: 1347.71, Lower Danger: 1276.78, Upper Warning: 1489.57, Upper Danger: 1560.5",WATCHLIST
KHC,MATURE,22.58,Upward,1,-1.79,10,50.01,Neutral,0.11,Low Risk,Mediate,57.5,6.9,D,Underweight,Conservative Allocation,-0.9279287593657716,"WATCHLIST: Reference return 0.1%, Safety 57.5/100, Risk: Low Risk","Risk Reference Prices (Current: 22.58) | Lower Warning: 21.45, Lower Danger: 20.32, Upper Warning: 23.71, Upper Danger: 24.84",WATCHLIST
LRCX,MATURE,212.2,Upward,1,-0.66,45,57.28,Neutral,2.78,Low Risk,Mediate,41.4,24.1,D,Underweight,Conservative Allocation,2.1147940822822604,"WATCHLIST: Reference return 2.8%, Safety 41.4/100, Risk: Low Risk","Risk Reference Prices (Current: 212.20) | Lower Warning: 201.59, Lower Danger: 190.98, Upper Warning: 222.81, Upper Danger: 233.42",WATCHLIST
LIN,MATURE,493.92,Upward,1,-0.95,45,63.96,Bullish,1.36,Low Risk,Mediate,68.6,25.7,D,Underweight,Conservative Allocation,0.3763127920837022,"WATCHLIST: Reference return 1.4%, Safety 68.6/100, Risk: Low Risk","Risk Reference Prices (Current: 493.92) | Lower Warning: 469.22, Lower Danger: 444.53, Upper Warning: 518.62, Upper Danger: 543.31",WATCHLIST
MAR,MATURE,313.81,Upward,1,-1.9,20,48.27,Neutral,0.1,Low Risk,Mediate,69.3,10.5,D,Underweight,Conservative Allocation,0.9038991824531322,"WATCHLIST: Reference return 0.1%, Safety 69.3/100, Risk: Low Risk","Risk Reference Prices (Current: 313.81) | Lower Warning: 298.12, Lower Danger: 282.43, Upper Warning: 329.5, Upper Danger: 345.19",WATCHLIST
MRVL,MATURE,87.86,Downward,-1,2.84,65,49.84,Neutral,-0.5,Low Risk,Caution,21.1,42.5,C,Caution,Risk Mitigation,0.6471371801489249,"WATCHLIST: Reference return -0.5%, Safety 21.1/100, Risk: Low Risk","Risk Reference Prices (Current: 87.86) | Lower Warning: 83.47, Lower Danger: 79.07, Upper Warning: 92.25, Upper Danger: 96.65",WATCHLIST
MELI,MATURE,1670.0,Downward,-1,-2.71,30,43.01,Neutral,-0.86,Low Risk,Caution,34.4,1.8,D,Underweight,Conservative Allocation,-0.39069760016040855,"WATCHLIST: Reference return -0.9%, Safety 34.4/100, Risk: Low Risk","Risk Reference Prices (Current: 1670.00) | Lower Warning: 1586.5, Lower Danger: 1503.0, Upper Warning: 1753.5, Upper Danger: 1837.0",WATCHLIST
META,MATURE,613.71,Downward,-1,-1.57,10,45.32,Neutral,-0.1,Low Risk,Mediate,57.9,7.3,D,Underweight,Conservative Allocation,0.12022690004864064,"WATCHLIST: Reference return -0.1%, Safety 57.9/100, Risk: Low Risk","Risk Reference Prices (Current: 613.71) | Lower Warning: 583.02, Lower Danger: 552.34, Upper Warning: 644.4, Upper Danger: 675.08",WATCHLIST
MCHP,MATURE,61.94,Upward,1,-0.95,30,48.36,Neutral,-0.6,Low Risk,Mediate,46.8,13.8,D,Underweight,Conservative Allocation,0.5189688699085859,"WATCHLIST: Reference return -0.6%, Safety 46.8/100, Risk: Low Risk","Risk Reference Prices (Current: 61.94) | Lower Warning: 58.84, Lower Danger: 55.75, Upper Warning: 65.04, Upper Danger: 68.13",WATCHLIST
MU,MATURE,426.13,Upward,1,-0.63,45,61.71,Bullish,4.52,Low Risk,Caution,23.4,24.2,D,Underweight,Conservative Allocation,2.5451552725762228,"WATCHLIST: Reference return 4.5%, Safety 23.4/100, Risk: Low Risk","Risk Reference Prices (Current: 426.13) | Lower Warning: 404.82, Lower Danger: 383.52, Upper Warning: 447.44, Upper Danger: 468.74",WATCHLIST
MSFT,MATURE,395.55,Downward,-1,2.43,50,41.97,Neutral,-0.87,Low Risk,Mediate,57.2,44.5,C,Caution,Risk Mitigation,0.07562535716341333,"WATCHLIST: Reference return -0.9%, Safety 57.2/100, Risk: Low Risk","Risk Reference Prices (Current: 395.55) | Lower Warning: 375.77, Lower Danger: 355.99, Upper Warning: 415.33, Upper Danger: 435.1",WATCHLIST
MSTR,MATURE,139.67,Downward,-1,1.22,65,51.18,Neutral,-1.11,High Risk,Caution,0.0,31.6,D,Underweight,Conservative Allocation,-0.6931971379404358,"WATCHLIST: Reference return -1.1%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 139.67) | Lower Warning: 132.69, Lower Danger: 125.7, Upper Warning: 146.65, Upper Danger: 153.64",WATCHLIST
MDLZ,MATURE,54.89,Upward,1,-2.3,20,54.35,Neutral,0.47,Low Risk,Mediate,55.2,7.6,D,Underweight,Conservative Allocation,-0.6464793664631362,"WATCHLIST: Reference return 0.5%, Safety 55.2/100, Risk: Low Risk","Risk Reference Prices (Current: 54.89) | Lower Warning: 52.15, Lower Danger: 49.4, Upper Warning: 57.63, Upper Danger: 60.38",WATCHLIST
MPWR,MATURE,1052.59,Upward,1,-0.72,45,56.55,Neutral,1.18,Low Risk,Mediate,43.6,21.3,D,Underweight,Conservative Allocation,1.2113419776957648,"WATCHLIST: Reference return 1.2%, Safety 43.6/100, Risk: Low Risk","Risk Reference Prices (Current: 1052.59) | Lower Warning: 999.96, Lower Danger: 947.33, Upper Warning: 1105.22, Upper Danger: 1157.85",WATCHLIST
MNST,MATURE,77.11,Upward,1,-2.2,30,49.35,Neutral,1.28,Low Risk,Mediate,69.7,13.5,D,Underweight,Conservative Allocation,1.4290333687903949,"WATCHLIST: Reference return 1.3%, Safety 69.7/100, Risk: Low Risk","Risk Reference Prices (Current: 77.11) | Lower Warning: 73.25, Lower Danger: 69.4, Upper Warning: 80.97, Upper Danger: 84.82",WATCHLIST
NFLX,MATURE,95.31,Downward,-1,4.4,85,53.88,Neutral,-1.6,Low Risk,Caution,21.1,48.8,C+,Watchlist,Double Check,0.16502464151176602,"WATCHLIST: Reference return -1.6%, Safety 21.1/100, Risk: Low Risk","Risk Reference Prices (Current: 95.31) | Lower Warning: 90.54, Lower Danger: 85.78, Upper Warning: 100.08, Upper Danger: 104.84",WATCHLIST
