Symbol,Maturity,Current Price,Trend,Trend Score,Composite Score,Belief Quality,Quantiment (%),Sentiment,Reference Return (%),Risk,Safety,Safety Score,Healthy Score,Reference Rating,Reference State,Strategic Signal,sharpRatio,Summary,Reference Prices,Category signal,ret_1d,ret_7d,ret_14d,ret_30d,cum_ret,vol_7d,vol_14d,vol_30d,mdd,win,loss,avg_ret,avg_up,avg_down,ret_w,ret_2w,ret_m,score,grade,level,ret_score,risk_score,stability_score,payoff,Safety Band,Health Band,Investor Type,Current Stance,Portfolio Role,Risk Label,Investor Fit Score,Interpretation
EURCHF,MATURE,0.92,Downward,-1,1.91,85,49.4,Neutral,-0.11,Low Risk,Safe,92.4,57.7,B,Attention,Opportunity Confirmation,-1.226877779,"WATCHLIST: Reference return -0.1%, Safety 92.4/100, Risk: Low Risk","Risk Reference Prices (Current: 0.92) | Lower Warning: 0.87, Lower Danger: 0.83, Upper Warning: 0.97, Upper Danger: 1.01",WATCHLIST,-0.0008,0.0064,0.0163,0.0085,-0.0154,0.0037,0.0031,0.0035,-0.0467,0.5078,0.4922,-0.0001,0.002,-0.0022,0.0021,0.0085,-0.0024,45.7169,D,2,9.6785,28.8733,7.1651,0.9175,Safe,Strong,Safe / Defensive,Safe Hold,Defensive / Cash Position,Low Risk | Safe | Strong,77.12,"Best suited for capital preservation, portfolio stabilization, and low-volatility allocation. Current profile supports defensive holding."
EURHUF,MATURE,382.76,Upward,1,-1.13,35,50.11,Neutral,-0.15,Low Risk,Safe,83.3,20.9,D,Underweight,Conservative Allocation,-1.455713825,"WATCHLIST: Reference return -0.1%, Safety 83.3/100, Risk: Low Risk","Risk Reference Prices (Current: 382.76) | Lower Warning: 363.62, Lower Danger: 344.49, Upper Warning: 401.9, Upper Danger: 421.04",WATCHLIST,0.0012,-0.0107,-0.0193,0.0091,-0.0559,0.0052,0.0068,0.0087,-0.0872,0.4258,0.5742,-0.0002,0.003,-0.0026,-0.012,-0.0185,0.0,40.2718,E,1,6.4003,27.7475,6.1239,1.1512,Safe,Weak,Conservative,Selective Exposure,Core Allocation,Low Risk | Safe | Weak,47.86,Suitable for lower-risk investors seeking relatively stable core exposure. Current setup allows selective exposure under controlled sizing.
CNY,MATURE,0.15,Upward,1,1.2,50,50.43,Neutral,0.14,Low Risk,Safe,94.6,47.5,C+,Watchlist,Double Check,0.548178545,"WATCHLIST: Reference return 0.1%, Safety 94.6/100, Risk: Low Risk","Risk Reference Prices (Current: 0.15) | Lower Warning: 0.14, Lower Danger: 0.13, Upper Warning: 0.15, Upper Danger: 0.16",WATCHLIST,0.0005,0.0028,0.0107,0.0038,0.058,0.002,0.0034,0.0034,-0.0165,0.4375,0.3398,0.0002,0.0015,-0.0013,0.0043,0.0026,0.0018,46.6487,D,2,10.8141,29.2686,6.566,1.1679,Safe,Strong,Safe / Defensive,Safe Hold,Defensive / Cash Position,Low Risk | Safe | Strong,67.9,"Best suited for capital preservation, portfolio stabilization, and low-volatility allocation. Current profile supports defensive holding."
HKD,MATURE,0.13,Downward,-1,-3.16,30,49.83,Neutral,-0.08,Low Risk,Safe,98.1,14.7,D,Underweight,Conservative Allocation,-5.192456224,"WATCHLIST: Reference return -0.1%, Safety 98.1/100, Risk: Low Risk","Risk Reference Prices (Current: 0.13) | Lower Warning: 0.12, Lower Danger: 0.11, Upper Warning: 0.13, Upper Danger: 0.14",WATCHLIST,0.0,-0.0024,-0.0009,-0.003,-0.0083,0.0004,0.0006,0.0007,-0.0127,0.4297,0.5469,0.0,0.0004,-0.0004,-0.0006,-0.0004,0.0002,42.6156,D,2,7.8443,29.349,5.4223,1.0575,Safe,Weak,Conservative,High Risk Tactical Only,Core Allocation,Low Risk | Safe | Weak,45.33,"Suitable for lower-risk investors seeking relatively stable core exposure. Current profile is only suitable for tactical, high-risk participation."
SGD,MATURE,0.78,Upward,1,-0.51,35,50.06,Neutral,-0.1,Low Risk,Safe,93.5,28.2,D,Underweight,Conservative Allocation,0.157967767,"WATCHLIST: Reference return -0.1%, Safety 93.5/100, Risk: Low Risk","Risk Reference Prices (Current: 0.78) | Lower Warning: 0.74, Lower Danger: 0.7, Upper Warning: 0.82, Upper Danger: 0.86",WATCHLIST,0.0,-0.003,-0.0052,-0.0162,0.0481,0.0033,0.0036,0.0034,-0.0282,0.5156,0.4805,0.0002,0.0024,-0.0021,0.0038,-0.0058,-0.0004,46.7466,D,2,8.6521,29.1417,8.9528,1.1019,Safe,Acceptable,Conservative,Selective Exposure,Core Allocation,Low Risk | Safe | Acceptable,55.17,Suitable for lower-risk investors seeking relatively stable core exposure. Current setup allows selective exposure under controlled sizing.
INR,MATURE,0.01,Downward,-1,0.45,70,48.92,Neutral,-0.9,Low Risk,Safe,83.1,42.4,C,Caution,Risk Mitigation,-1.794498731,"WATCHLIST: Reference return -0.9%, Safety 83.1/100, Risk: Low Risk","Risk Reference Prices (Current: 0.01) | Lower Warning: 0.01, Lower Danger: 0.01, Upper Warning: 0.01, Upper Danger: 0.01",WATCHLIST,-0.0007,0.0178,-0.0081,-0.0249,-0.0807,0.0058,0.0068,0.0054,-0.1114,0.4219,0.5781,-0.0003,0.0026,-0.0025,0.0187,0.0005,0.0048,39.4183,E,1,7.3361,26.8187,5.2636,1.0606,Safe,Strong,Conservative,Defensive Hold,Core Allocation,Low Risk | Safe | Strong,63.32,Suitable for lower-risk investors seeking relatively stable core exposure. Current conditions suggest a defensive stance rather than active accumulation.
MXN,MATURE,0.06,Downward,-1,1.32,50,49.86,Neutral,0.17,Low Risk,Safe,85.3,46.4,C+,Watchlist,Double Check,1.263139685,"WATCHLIST: Reference return 0.2%, Safety 85.3/100, Risk: Low Risk","Risk Reference Prices (Current: 0.06) | Lower Warning: 0.05, Lower Danger: 0.05, Upper Warning: 0.06, Upper Danger: 0.06",WATCHLIST,0.0049,0.001,-0.0043,-0.0373,0.1611,0.0087,0.008,0.0089,-0.0576,0.5664,0.4336,0.0006,0.004,-0.0038,0.0216,-0.0012,0.007,52.2146,D,2,13.0571,28.5453,10.6122,1.0402,Safe,Strong,Conservative,Defensive Hold,Core Allocation,Low Risk | Safe | Strong,64.56,Suitable for lower-risk investors seeking relatively stable core exposure. Current conditions suggest a defensive stance rather than active accumulation.
PHP,MATURE,0.02,Downward,-1,-1.51,55,49.64,Neutral,0.0,Low Risk,Safe,77.4,21.2,D,Underweight,Conservative Allocation,-0.681149401,"WATCHLIST: Reference return 0.0%, Safety 77.4/100, Risk: Low Risk","Risk Reference Prices (Current: 0.02) | Lower Warning: 0.02, Lower Danger: 0.02, Upper Warning: 0.02, Upper Danger: 0.02",WATCHLIST,0.0043,-0.0009,-0.0065,-0.0359,-0.046,0.0045,0.005,0.0093,-0.1073,0.4844,0.5078,-0.0002,0.0043,-0.0044,0.0078,-0.0087,0.0087,39.6466,E,1,6.1704,26.9174,6.5588,0.9726,Defensive,Weak,Conservative,Defensive Hold,Core Allocation,Low Risk | Defensive | Weak,47.89,Suitable for lower-risk investors seeking relatively stable core exposure. Current conditions suggest a defensive stance rather than active accumulation.
IDR,MATURE,0.0,Downward,-1,-2.4,20,50.0,Neutral,0.0,Low Risk,Safe,100.0,14.8,D,Underweight,Conservative Allocation,-4.64e+16,"WATCHLIST: Reference return 0.0%, Safety 100.0/100, Risk: Low Risk","Risk Reference Prices (Current: 0.00) | Lower Warning: 0.0, Lower Danger: 0.0, Upper Warning: 0.0, Upper Danger: 0.0",WATCHLIST,-0.0043,-0.0166,-0.0046,-0.0111,-0.0173,0.0041,0.0046,0.0035,-0.0847,0.4609,0.5273,0.0,0.0038,-0.0034,-0.0043,-0.0068,-0.0056,41.2341,E,1,6.4366,27.9512,6.8463,1.117,Safe,Weak,Conservative,High Risk Tactical Only,Core Allocation,Low Risk | Safe | Weak,46.44,"Suitable for lower-risk investors seeking relatively stable core exposure. Current profile is only suitable for tactical, high-risk participation."
THB,MATURE,0.03,Downward,-1,1.66,70,48.68,Neutral,-0.31,Low Risk,Safe,85.3,52.0,C+,Watchlist,Double Check,0.267281455,"WATCHLIST: Reference return -0.3%, Safety 85.3/100, Risk: Low Risk","Risk Reference Prices (Current: 0.03) | Lower Warning: 0.03, Lower Danger: 0.03, Upper Warning: 0.03, Upper Danger: 0.03",WATCHLIST,0.0022,0.0074,-0.0055,-0.0442,0.0636,0.0051,0.0083,0.0066,-0.0622,0.4961,0.4609,0.0003,0.0042,-0.0039,0.0132,-0.0009,-0.0006,45.5232,D,2,9.2791,28.505,7.7392,1.06,Safe,Strong,Conservative,Defensive Hold,Core Allocation,Low Risk | Safe | Strong,69.97,Suitable for lower-risk investors seeking relatively stable core exposure. Current conditions suggest a defensive stance rather than active accumulation.
MYR,MATURE,0.25,Upward,1,-2.2,30,50.7,Neutral,0.14,Low Risk,Safe,91.5,16.1,D,Underweight,Conservative Allocation,0.907880691,"WATCHLIST: Reference return 0.1%, Safety 91.5/100, Risk: Low Risk","Risk Reference Prices (Current: 0.25) | Lower Warning: 0.24, Lower Danger: 0.22, Upper Warning: 0.26, Upper Danger: 0.27",WATCHLIST,0.0027,-0.0157,-0.0241,-0.0309,0.1,0.0047,0.0041,0.0041,-0.0407,0.5156,0.4414,0.0004,0.003,-0.0026,-0.0019,-0.022,0.0053,47.0433,D,2,8.8568,28.9581,9.2284,1.134,Safe,Weak,Conservative,Watch / DCA Only,Core Allocation,Low Risk | Safe | Weak,45.92,Suitable for lower-risk investors seeking relatively stable core exposure. Current weakness suggests observation or gradual accumulation only.
ZAR,MATURE,0.06,Downward,-1,1.11,50,49.02,Neutral,-0.16,Low Risk,Safe,78.7,43.2,C,Caution,Risk Mitigation,0.866918098,"WATCHLIST: Reference return -0.2%, Safety 78.7/100, Risk: Low Risk","Risk Reference Prices (Current: 0.06) | Lower Warning: 0.06, Lower Danger: 0.05, Upper Warning: 0.06, Upper Danger: 0.07",WATCHLIST,0.0051,0.0076,-0.0107,-0.0527,0.1439,0.0092,0.0114,0.0121,-0.0861,0.5273,0.4727,0.0006,0.0055,-0.005,0.0183,-0.0075,0.0009,49.4632,D,2,12.279,27.6786,9.5056,1.1049,Defensive,Strong,Conservative,Defensive Hold,Core Allocation,Low Risk | Defensive | Strong,60.68,Suitable for lower-risk investors seeking relatively stable core exposure. Current conditions suggest a defensive stance rather than active accumulation.
RUB,MATURE,0.01,Downward,-1,1.22,60,48.79,Neutral,0.0,Low Risk,Safe,70.3,44.3,C,Caution,Risk Mitigation,0.219723765,"WATCHLIST: Reference return 0.0%, Safety 70.3/100, Risk: Low Risk","Risk Reference Prices (Current: 0.01) | Lower Warning: 0.01, Lower Danger: 0.01, Upper Warning: 0.01, Upper Danger: 0.01",WATCHLIST,0.0192,0.0295,0.0327,-0.0394,0.0644,0.0092,0.0168,0.0135,-0.1398,0.5,0.5,0.0003,0.0091,-0.0085,0.0272,0.095,0.0333,46.2525,D,2,13.36,24.8712,8.0212,1.0736,Defensive,Strong,Conservative,Defensive Hold,Core Allocation,Low Risk | Defensive | Strong,59.82,Suitable for lower-risk investors seeking relatively stable core exposure. Current conditions suggest a defensive stance rather than active accumulation.
EURUSD,MATURE,1.15,Downward,-1,1.31,60,49.56,Neutral,-0.29,Low Risk,Safe,89.9,48.9,C+,Watchlist,Double Check,0.158266305,"WATCHLIST: Reference return -0.3%, Safety 89.9/100, Risk: Low Risk","Risk Reference Prices (Current: 1.15) | Lower Warning: 1.1, Lower Danger: 1.04, Upper Warning: 1.21, Upper Danger: 1.27",WATCHLIST,0.0005,-0.0012,0.0042,-0.0243,0.0512,0.0049,0.0051,0.0049,-0.0485,0.4766,0.5234,0.0002,0.0038,-0.0031,0.0048,-0.0026,-0.0023,46.3578,D,2,9.0706,28.8148,8.4724,1.2381,Safe,Strong,Conservative,Defensive Hold,Core Allocation,Low Risk | Safe | Strong,68.37,Suitable for lower-risk investors seeking relatively stable core exposure. Current conditions suggest a defensive stance rather than active accumulation.
JPY,MATURE,0.01,Downward,-1,0.57,70,49.75,Neutral,0.0,Low Risk,Safe,82.1,43.4,C,Caution,Risk Mitigation,-0.910241614,"WATCHLIST: Reference return 0.0%, Safety 82.1/100, Risk: Low Risk","Risk Reference Prices (Current: 0.01) | Lower Warning: 0.01, Lower Danger: 0.01, Upper Warning: 0.01, Upper Danger: 0.01",WATCHLIST,-0.0013,-0.002,-0.0037,-0.0336,-0.0893,0.0043,0.0055,0.0046,-0.1208,0.4727,0.5273,-0.0003,0.0045,-0.0047,0.0034,-0.0111,-0.007,38.1065,E,1,5.7593,26.3364,6.0108,0.9608,Safe,Strong,Conservative,Defensive Hold,Core Allocation,Low Risk | Safe | Strong,63.66,Suitable for lower-risk investors seeking relatively stable core exposure. Current conditions suggest a defensive stance rather than active accumulation.
GBPUSD,MATURE,1.32,Downward,-1,-1.19,55,49.61,Neutral,-0.4,Low Risk,Safe,88.8,25.5,D,Underweight,Conservative Allocation,-0.180953326,"WATCHLIST: Reference return -0.4%, Safety 88.8/100, Risk: Low Risk","Risk Reference Prices (Current: 1.32) | Lower Warning: 1.26, Lower Danger: 1.19, Upper Warning: 1.39, Upper Danger: 1.46",WATCHLIST,0.0004,-0.0096,-0.0059,-0.022,0.0251,0.005,0.0061,0.0052,-0.0528,0.5,0.5,0.0001,0.0036,-0.0034,-0.0002,-0.0142,-0.0006,44.0611,D,2,7.4,28.7301,7.9311,1.0627,Safe,Acceptable,Conservative,Defensive Hold,Core Allocation,Low Risk | Safe | Acceptable,53.97,Suitable for lower-risk investors seeking relatively stable core exposure. Current conditions suggest a defensive stance rather than active accumulation.
AUDUSD,MATURE,0.69,Upward,1,-0.76,45,51.28,Neutral,0.04,Low Risk,Safe,88.4,27.2,D,Underweight,Conservative Allocation,1.179502719,"WATCHLIST: Reference return 0.0%, Safety 88.4/100, Risk: Low Risk","Risk Reference Prices (Current: 0.69) | Lower Warning: 0.66, Lower Danger: 0.62, Upper Warning: 0.73, Upper Danger: 0.76",WATCHLIST,0.0008,-0.0037,-0.0214,-0.0273,0.1552,0.006,0.0066,0.0073,-0.0397,0.5391,0.4609,0.0006,0.0046,-0.0041,0.0096,-0.0232,-0.0005,51.1252,D,2,12.0921,28.9038,10.1293,1.1171,Safe,Acceptable,Conservative,Selective Exposure,Core Allocation,Low Risk | Safe | Acceptable,54.08,Suitable for lower-risk investors seeking relatively stable core exposure. Current setup allows selective exposure under controlled sizing.
NZDUSD,MATURE,0.57,Downward,-1,-2.73,30,50.04,Neutral,-0.23,Low Risk,Safe,84.6,12.9,D,Underweight,Conservative Allocation,-0.060234819,"WATCHLIST: Reference return -0.2%, Safety 84.6/100, Risk: Low Risk","Risk Reference Prices (Current: 0.57) | Lower Warning: 0.54, Lower Danger: 0.51, Upper Warning: 0.6, Upper Danger: 0.63",WATCHLIST,-0.0006,-0.0159,-0.0238,-0.0483,0.0312,0.0048,0.0062,0.0067,-0.0834,0.5039,0.4961,0.0001,0.0046,-0.0044,-0.0024,-0.0262,-0.0073,42.0448,D,2,6.1478,27.9259,7.9711,1.0467,Safe,Weak,Conservative,High Risk Tactical Only,Core Allocation,Low Risk | Safe | Weak,41.16,"Suitable for lower-risk investors seeking relatively stable core exposure. Current profile is only suitable for tactical, high-risk participation."
EURJPY,MATURE,184.29,Upward,1,3.07,80,48.65,Neutral,0.09,Low Risk,Safe,94.5,60.6,B,Attention,Opportunity Confirmation,1.609146599,"ATTENTION: Reference return 0.1%, Safety 94.5/100, Risk: Low Risk","Risk Reference Prices (Current: 184.29) | Lower Warning: 175.07, Lower Danger: 165.86, Upper Warning: 193.5, Upper Danger: 202.72",ATTENTION,0.0013,0.0001,0.0073,0.0089,0.1538,0.0026,0.0028,0.0031,-0.0268,0.5273,0.4727,0.0006,0.0035,-0.0027,0.0009,0.008,0.0044,54.9371,D,2,14.6133,29.1645,11.1594,1.2957,Safe,Strong,Safe / Defensive,Safe Hold,Defensive / Cash Position,Low Risk | Safe | Strong,80.79,"Best suited for capital preservation, portfolio stabilization, and low-volatility allocation. Current profile supports defensive holding."
GBPJPY,MATURE,211.3,Upward,1,-0.41,35,48.12,Neutral,0.16,Low Risk,Safe,93.8,29.2,D,Underweight,Conservative Allocation,1.079783003,"WATCHLIST: Reference return 0.2%, Safety 93.8/100, Risk: Low Risk","Risk Reference Prices (Current: 211.30) | Lower Warning: 200.73, Lower Danger: 190.17, Upper Warning: 221.86, Upper Danger: 232.43",WATCHLIST,0.0016,-0.0079,-0.0025,0.0116,0.1255,0.0041,0.0031,0.0037,-0.0297,0.5586,0.4414,0.0005,0.0035,-0.0034,-0.0038,-0.0034,0.0065,51.9179,D,2,12.5139,29.1168,10.2872,1.0377,Safe,Acceptable,Conservative,Selective Exposure,Core Allocation,Low Risk | Safe | Acceptable,55.63,Suitable for lower-risk investors seeking relatively stable core exposure. Current setup allows selective exposure under controlled sizing.
EURGBP,MATURE,0.87,Downward,-1,3.46,75,49.94,Neutral,0.09,Low Risk,Safe,94.1,60.2,B,Attention,Opportunity Confirmation,-0.31626367,"WATCHLIST: Reference return 0.1%, Safety 94.1/100, Risk: Low Risk","Risk Reference Prices (Current: 0.87) | Lower Warning: 0.83, Lower Danger: 0.78, Upper Warning: 0.92, Upper Danger: 0.96",WATCHLIST,-0.0003,0.0081,0.0098,-0.0027,0.0251,0.0026,0.0026,0.0025,-0.0352,0.5078,0.4922,0.0001,0.0022,-0.002,0.0047,0.0114,-0.002,47.2811,D,2,9.8979,29.0669,8.3163,1.0677,Safe,Strong,Safe / Defensive,Safe Hold,Defensive / Cash Position,Low Risk | Safe | Strong,80.89,"Best suited for capital preservation, portfolio stabilization, and low-volatility allocation. Current profile supports defensive holding."
EURCAD,MATURE,1.61,Downward,-1,3.75,75,49.46,Neutral,0.04,Low Risk,Safe,91.3,59.8,B,Attention,Opportunity Confirmation,-0.205920466,"WATCHLIST: Reference return 0.0%, Safety 91.3/100, Risk: Low Risk","Risk Reference Prices (Current: 1.61) | Lower Warning: 1.53, Lower Danger: 1.44, Upper Warning: 1.69, Upper Danger: 1.77",WATCHLIST,-0.0003,0.0055,0.0202,-0.006,0.0264,0.0033,0.0042,0.0045,-0.0462,0.5352,0.4609,0.0001,0.0026,-0.0028,0.0051,0.0097,-0.002,47.5863,D,2,10.2239,28.8616,8.5007,0.9334,Safe,Strong,Safe / Defensive,Safe Hold,Defensive / Cash Position,Low Risk | Safe | Strong,80.47,"Best suited for capital preservation, portfolio stabilization, and low-volatility allocation. Current profile supports defensive holding."
