Symbol,Maturity,Current Price,Trend,Trend Score,Composite Score,Belief Quality,Quantiment (%),Sentiment,Reference Return (%),Risk,Safety,Safety Score,Healthy Score,Reference Rating,Reference State,Strategic Signal,sharpRatio,Summary,Reference Prices,Category signal,ret_1d,ret_7d,ret_14d,ret_30d,cum_ret,vol_7d,vol_14d,vol_30d,mdd,win,loss,avg_ret,avg_up,avg_down,ret_w,ret_2w,ret_m,score,grade,level,ret_score,risk_score,stability_score,payoff,Safety Band,Health Band,Investor Type,Current Stance,Portfolio Role,Risk Label,Investor Fit Score,Interpretation
ABNB,MATURE,138.86,Upward,1,0.98,65,58.01,Neutral,0.74,Low Risk,Mediate,59.8,44.0,C,Caution,Risk Mitigation,0.373871834,"WATCHLIST: Reference return 0.7%, Safety 59.8/100, Risk: Low Risk","Risk Reference Prices (Current: 138.86) | Lower Warning: 131.92, Lower Danger: 124.97, Upper Warning: 145.8, Upper Danger: 152.75",WATCHLIST,-0.0198,-0.0212,0.0374,0.0805,0.1119,0.0122,0.0151,0.0214,-0.2154,0.54,0.46,0.0006,0.0133,-0.0143,-0.0198,-0.0277,-0.0107,45.0867,D,2,18.8514,17.5499,8.6854,0.9294,Defensive,Strong,Moderately Conservative,Selective Exposure,Core Allocation,Low Risk | Defensive | Strong,57.13,"Suitable as a relatively stable core risk asset, but current conditions require caution. Current setup allows selective exposure under controlled sizing."
AKAM,MATURE,105.78,Upward,1,1.38,60,47.4,Neutral,2.49,Low Risk,Caution,25.2,40.2,C,Caution,Risk Mitigation,0.683392538,"WATCHLIST: Reference return 2.5%, Safety 25.2/100, Risk: Low Risk","Risk Reference Prices (Current: 105.78) | Lower Warning: 100.49, Lower Danger: 95.2, Upper Warning: 111.07, Upper Danger: 116.36",WATCHLIST,0.0184,0.0998,0.1907,-0.0425,0.2729,0.0198,0.0238,0.0434,-0.2544,0.536,0.46,0.0014,0.0177,-0.0177,0.0184,0.1106,0.0272,52.3093,D,2,31.933,11.3267,9.0497,1.0021,Caution,Strong,Moderately Conservative,Selective Exposure,Core Allocation,Low Risk | Caution | Strong,43.07,"Suitable as a relatively stable core risk asset, but current conditions require caution. Current setup allows selective exposure under controlled sizing."
ALB,MATURE,190.69,Upward,1,1.53,75,55.63,Neutral,1.25,Mediate Risk,Caution,28.2,43.9,C,Caution,Risk Mitigation,2.226568741,"WATCHLIST: Reference return 1.2%, Safety 28.2/100, Risk: Mediate Risk","Risk Reference Prices (Current: 190.69) | Lower Warning: 181.16, Lower Danger: 171.62, Upper Warning: 200.22, Upper Danger: 209.76",WATCHLIST,-0.0165,-0.0127,0.0044,0.2169,2.3489,0.0409,0.0589,0.0462,-0.2005,0.564,0.432,0.0056,0.0313,-0.0279,-0.0165,0.0125,-0.0306,60.2766,C,3,33.3874,15.6954,11.1938,1.1208,Caution,Strong,Balanced Growth,Selective Exposure,Growth Allocation,Mediate Risk | Caution | Strong,48.68,Suitable for investors seeking a balance between upside potential and manageable volatility. Current setup allows selective exposure under controlled sizing.
ARE,MATURE,41.14,Downward,-1,-2.87,30,40.4,Neutral,-2.77,High Risk,Caution,12.9,-3.2,D,Underweight,Conservative Allocation,-1.110586017,"WATCHLIST: Reference return -2.8%, Safety 12.9/100, Risk: High Risk","Risk Reference Prices (Current: 41.14) | Lower Warning: 39.08, Lower Danger: 37.03, Upper Warning: 43.2, Upper Danger: 45.25",WATCHLIST,-0.006,-0.113,-0.0936,-0.1182,-0.4035,0.0482,0.0383,0.0327,-0.5161,0.548,0.452,-0.0017,0.0152,-0.0222,-0.006,-0.1321,0.0156,16.0122,E,1,0.3239,8.0379,7.6503,0.6852,Risky,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Risky | Fragile,9.92,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
ALGN,MATURE,171.88,Upward,1,-0.77,35,46.49,Neutral,-0.17,Low Risk,Caution,33.6,13.4,D,Underweight,Conservative Allocation,0.165140445,"WATCHLIST: Reference return -0.2%, Safety 33.6/100, Risk: Low Risk","Risk Reference Prices (Current: 171.88) | Lower Warning: 163.29, Lower Danger: 154.69, Upper Warning: 180.47, Upper Danger: 189.07",WATCHLIST,-0.0393,-0.0985,-0.0694,-0.0075,-0.0323,0.0219,0.0217,0.0268,-0.3973,0.52,0.48,0.0005,0.0188,-0.0193,-0.0393,-0.0935,-0.0235,20.547,E,1,3.4076,9.0268,8.1127,0.9731,Caution,Weak,Moderately Conservative,High Risk Tactical Only,Core Allocation,Low Risk | Caution | Weak,28.75,"Suitable as a relatively stable core risk asset, but current conditions require caution. Current profile is only suitable for tactical, high-risk participation."
ALLE,MATURE,132.49,Downward,-1,-2.27,20,42.79,Neutral,-1.22,Low Risk,Mediate,50.9,4.3,D,Underweight,Conservative Allocation,-0.265810751,"WATCHLIST: Reference return -1.2%, Safety 50.9/100, Risk: Low Risk","Risk Reference Prices (Current: 132.49) | Lower Warning: 125.87, Lower Danger: 119.24, Upper Warning: 139.11, Upper Danger: 145.74",WATCHLIST,-0.0221,-0.1013,-0.0988,-0.0702,-0.0526,0.0275,0.0243,0.0201,-0.2602,0.504,0.496,-0.0001,0.0103,-0.0107,-0.0221,-0.0932,-0.0363,22.8896,E,1,1.7696,13.7761,7.3439,0.9659,Defensive,Fragile,Moderately Conservative,Avoid / Too Fragile,Core Allocation,Low Risk | Defensive | Fragile,25.71,"Suitable as a relatively stable core risk asset, but current conditions require caution. Current profile appears too fragile for normal allocation."
LNT,MATURE,73.68,Upward,1,2.8,80,51.19,Neutral,1.4,Low Risk,Safe,82.4,60.2,B,Attention,Opportunity Confirmation,1.241265621,"ATTENTION: Reference return 1.4%, Safety 82.4/100, Risk: Low Risk","Risk Reference Prices (Current: 73.68) | Lower Warning: 70.0, Lower Danger: 66.31, Upper Warning: 77.36, Upper Danger: 81.05",ATTENTION,-0.0051,0.0221,0.0267,0.0804,0.246,0.0119,0.0119,0.0093,-0.0701,0.564,0.428,0.0009,0.0076,-0.0078,-0.0051,0.0266,0.0034,64.7686,C,3,26.5607,28.2431,9.9647,0.969,Safe,Strong,Conservative,Selective Exposure,Core Allocation,Low Risk | Safe | Strong,76.02,Suitable for lower-risk investors seeking relatively stable core exposure. Current setup allows selective exposure under controlled sizing.
ALL,MATURE,219.87,Upward,1,2.58,80,53.47,Neutral,-0.02,Low Risk,Safe,75.2,56.2,B,Attention,Opportunity Confirmation,0.435105182,"ATTENTION: Reference return -0.0%, Safety 75.2/100, Risk: Low Risk","Risk Reference Prices (Current: 219.87) | Lower Warning: 208.88, Lower Danger: 197.88, Upper Warning: 230.86, Upper Danger: 241.86",ATTENTION,0.0151,0.0153,0.0232,0.0693,0.1196,0.016,0.014,0.0135,-0.1148,0.532,0.468,0.0006,0.011,-0.0113,0.0151,0.0328,0.012,54.5394,D,2,19.4828,26.4088,8.6478,0.9727,Defensive,Strong,Conservative,Selective Exposure,Core Allocation,Low Risk | Defensive | Strong,71.98,Suitable for lower-risk investors seeking relatively stable core exposure. Current setup allows selective exposure under controlled sizing.
GOOGL,MATURE,383.25,Upward,1,1.74,85,56.09,Neutral,0.91,Low Risk,Mediate,54.5,51.9,C+,Watchlist,Double Check,2.879332956,"WATCHLIST: Reference return 0.9%, Safety 54.5/100, Risk: Low Risk","Risk Reference Prices (Current: 383.25) | Lower Warning: 364.09, Lower Danger: 344.92, Upper Warning: 402.41, Upper Danger: 421.58",WATCHLIST,-0.0063,0.1309,0.1512,0.2733,1.342,0.037,0.0281,0.0265,-0.2037,0.548,0.452,0.0036,0.0157,-0.0111,-0.0063,0.1128,-0.004,80.4624,B,4,49.1389,18.3126,13.0109,1.4123,Defensive,Strong,Moderately Conservative,Selective Exposure,Core Allocation,Low Risk | Defensive | Strong,62.35,"Suitable as a relatively stable core risk asset, but current conditions require caution. Current setup allows selective exposure under controlled sizing."
GOOG,MATURE,379.64,Upward,1,1.73,85,55.48,Neutral,0.85,Low Risk,Mediate,54.2,51.5,C+,Watchlist,Double Check,2.858056424,"WATCHLIST: Reference return 0.9%, Safety 54.2/100, Risk: Low Risk","Risk Reference Prices (Current: 379.64) | Lower Warning: 360.66, Lower Danger: 341.68, Upper Warning: 398.62, Upper Danger: 417.6",WATCHLIST,-0.0093,0.124,0.1484,0.2706,1.2942,0.0375,0.0284,0.0256,-0.2075,0.544,0.456,0.0035,0.0155,-0.0108,-0.0093,0.109,-0.006,80.0075,B,4,49.018,18.0035,12.986,1.4316,Defensive,Strong,Moderately Conservative,Selective Exposure,Core Allocation,Low Risk | Defensive | Strong,62.04,"Suitable as a relatively stable core risk asset, but current conditions require caution. Current setup allows selective exposure under controlled sizing."
MO,MATURE,73.41,Upward,1,1.43,75,49.47,Neutral,1.17,Low Risk,Mediate,63.4,49.3,C+,Watchlist,Double Check,1.164813232,"WATCHLIST: Reference return 1.2%, Safety 63.4/100, Risk: Low Risk","Risk Reference Prices (Current: 73.41) | Lower Warning: 69.74, Lower Danger: 66.07, Upper Warning: 77.08, Upper Danger: 80.75",WATCHLIST,-0.0153,0.0932,0.1187,0.1577,0.3124,0.0287,0.0228,0.0177,-0.164,0.548,0.444,0.0012,0.01,-0.0097,-0.0153,0.0976,0.0105,76.6997,B,4,44.1364,22.7512,9.8121,1.0329,Defensive,Strong,Conservative,Selective Exposure,Core Allocation,Low Risk | Defensive | Strong,61.75,Suitable for lower-risk investors seeking relatively stable core exposure. Current setup allows selective exposure under controlled sizing.
AMZN,MATURE,272.05,Upward,1,1.96,85,66.87,Bullish,1.51,Low Risk,Mediate,60.9,56.8,B,Attention,Opportunity Confirmation,1.264658728,"WATCHLIST: Reference return 1.5%, Safety 60.9/100, Risk: Low Risk","Risk Reference Prices (Current: 272.05) | Lower Warning: 258.45, Lower Danger: 244.85, Upper Warning: 285.65, Upper Danger: 299.26",WATCHLIST,0.0141,0.0665,0.0925,0.3247,0.4599,0.0149,0.0124,0.0195,-0.2174,0.564,0.436,0.0017,0.0139,-0.0141,0.0141,0.0305,0.0264,72.8294,B,4,45.2486,17.4817,10.0991,0.9868,Defensive,Strong,Conservative,Selective Exposure,Core Allocation,Low Risk | Defensive | Strong,67.69,Suitable for lower-risk investors seeking relatively stable core exposure. Current setup allows selective exposure under controlled sizing.
AMCR,MATURE,36.91,Downward,-1,-2.38,20,41.53,Neutral,-1.22,Low Risk,Mediate,47.6,3.1,D,Underweight,Conservative Allocation,-0.682291235,"WATCHLIST: Reference return -1.2%, Safety 47.6/100, Risk: Low Risk","Risk Reference Prices (Current: 36.91) | Lower Warning: 35.06, Lower Danger: 33.22, Upper Warning: 38.76, Upper Danger: 40.6",WATCHLIST,-0.0223,-0.0689,-0.1,-0.0358,-0.1853,0.0165,0.0188,0.0261,-0.2607,0.476,0.5,-0.0006,0.0126,-0.0133,-0.0223,-0.0524,-0.0297,20.8044,E,1,1.4643,13.2923,6.0477,0.9484,Caution,Fragile,Moderately Conservative,Avoid / Too Fragile,Core Allocation,Low Risk | Caution | Fragile,23.79,"Suitable as a relatively stable core risk asset, but current conditions require caution. Current profile appears too fragile for normal allocation."
AEE,MATURE,112.39,Upward,1,2.7,80,50.02,Neutral,1.25,Low Risk,Safe,80.2,59.1,B,Attention,Opportunity Confirmation,0.803757391,"ATTENTION: Reference return 1.2%, Safety 80.2/100, Risk: Low Risk","Risk Reference Prices (Current: 112.39) | Lower Warning: 106.77, Lower Danger: 101.15, Upper Warning: 118.01, Upper Danger: 123.63",ATTENTION,-0.0103,0.003,0.0047,0.0597,0.1616,0.0112,0.0126,0.0101,-0.079,0.556,0.444,0.0006,0.0074,-0.0078,-0.0103,0.0114,-0.0111,55.9675,D,2,18.5044,27.9724,9.4907,0.9477,Safe,Strong,Conservative,Selective Exposure,Core Allocation,Low Risk | Safe | Strong,74.55,Suitable for lower-risk investors seeking relatively stable core exposure. Current setup allows selective exposure under controlled sizing.
AEP,MATURE,134.66,Upward,1,2.81,80,51.21,Neutral,1.36,Low Risk,Safe,80.5,59.8,B,Attention,Opportunity Confirmation,1.33486619,"ATTENTION: Reference return 1.4%, Safety 80.5/100, Risk: Low Risk","Risk Reference Prices (Current: 134.66) | Lower Warning: 127.93, Lower Danger: 121.19, Upper Warning: 141.39, Upper Danger: 148.13",ATTENTION,-0.0164,-0.0031,-0.0059,0.0716,0.2952,0.0113,0.0114,0.0101,-0.0814,0.52,0.472,0.0011,0.0089,-0.0075,-0.0164,-0.0005,-0.0179,61.2426,C,3,23.4451,27.8994,9.8982,1.1884,Safe,Strong,Conservative,Selective Exposure,Core Allocation,Low Risk | Safe | Strong,75.26,Suitable for lower-risk investors seeking relatively stable core exposure. Current setup allows selective exposure under controlled sizing.
AXP,MATURE,319.21,Downward,-1,1.26,60,48.85,Neutral,-0.81,Low Risk,Mediate,58.6,42.2,C,Caution,Risk Mitigation,0.544856782,"WATCHLIST: Reference return -0.8%, Safety 58.6/100, Risk: Low Risk","Risk Reference Prices (Current: 319.21) | Lower Warning: 303.25, Lower Danger: 287.29, Upper Warning: 335.17, Upper Danger: 351.13",WATCHLIST,-0.0015,0.0021,-0.0237,0.0837,0.1601,0.014,0.0166,0.0163,-0.239,0.524,0.476,0.0007,0.0121,-0.0118,-0.0015,0.0163,-0.0119,43.8935,D,2,19.5197,15.6568,8.717,1.0278,Defensive,Strong,Moderately Conservative,Watch / DCA Only,Core Allocation,Low Risk | Defensive | Strong,55.2,"Suitable as a relatively stable core risk asset, but current conditions require caution. Current weakness suggests observation or gradual accumulation only."
AIG,MATURE,77.56,Downward,-1,0.54,60,49.73,Neutral,0.53,Low Risk,Mediate,66.3,38.9,C,Caution,Risk Mitigation,-0.249267012,"WATCHLIST: Reference return 0.5%, Safety 66.3/100, Risk: Low Risk","Risk Reference Prices (Current: 77.56) | Lower Warning: 73.68, Lower Danger: 69.8, Upper Warning: 81.44, Upper Danger: 85.32",WATCHLIST,-0.0154,0.0161,0.007,0.0426,-0.0451,0.0246,0.0188,0.0154,-0.1698,0.52,0.464,-0.0001,0.01,-0.0113,-0.0154,0.0322,0.0369,41.3139,E,1,11.5134,22.3425,7.458,0.8797,Defensive,Acceptable,Conservative,Defensive Hold,Core Allocation,Low Risk | Defensive | Acceptable,55.2,Suitable for lower-risk investors seeking relatively stable core exposure. Current conditions suggest a defensive stance rather than active accumulation.
AMT,MATURE,180.88,Downward,-1,1.12,65,50.7,Neutral,0.24,Low Risk,Mediate,57.8,42.7,C,Caution,Risk Mitigation,-0.813727501,"WATCHLIST: Reference return 0.2%, Safety 57.8/100, Risk: Low Risk","Risk Reference Prices (Current: 180.88) | Lower Warning: 171.84, Lower Danger: 162.79, Upper Warning: 189.92, Upper Danger: 198.97",WATCHLIST,-0.004,0.0104,0.0253,0.0334,-0.1622,0.0146,0.0165,0.0155,-0.2667,0.516,0.484,-0.0006,0.0103,-0.0122,-0.004,0.015,-0.01,31.1161,E,1,10.4926,13.5744,7.0491,0.8432,Defensive,Strong,Moderately Conservative,Watch / DCA Only,Core Allocation,Low Risk | Defensive | Strong,55.66,"Suitable as a relatively stable core risk asset, but current conditions require caution. Current weakness suggests observation or gradual accumulation only."
AWK,MATURE,126.85,Upward,1,-1.74,10,48.99,Neutral,0.46,Low Risk,Mediate,69.1,9.9,D,Underweight,Conservative Allocation,-0.643991758,"WATCHLIST: Reference return 0.5%, Safety 69.1/100, Risk: Low Risk","Risk Reference Prices (Current: 126.85) | Lower Warning: 120.51, Lower Danger: 114.16, Upper Warning: 133.19, Upper Danger: 139.54",WATCHLIST,-0.0042,-0.0602,-0.049,-0.0658,-0.1222,0.0107,0.0147,0.0142,-0.1609,0.504,0.496,-0.0004,0.0104,-0.0114,-0.0042,-0.0421,-0.0122,31.9629,E,1,1.8287,23.1821,6.9521,0.911,Defensive,Fragile,Conservative,High Risk Tactical Only,Core Allocation,Low Risk | Defensive | Fragile,34.2,"Suitable for lower-risk investors seeking relatively stable core exposure. Current profile is only suitable for tactical, high-risk participation."
AMP,MATURE,468.59,Downward,-1,2.41,65,50.05,Neutral,-0.41,Low Risk,Mediate,62.3,49.7,C+,Watchlist,Double Check,-0.100643931,"WATCHLIST: Reference return -0.4%, Safety 62.3/100, Risk: Low Risk","Risk Reference Prices (Current: 468.59) | Lower Warning: 445.16, Lower Danger: 421.73, Upper Warning: 492.02, Upper Danger: 515.45",WATCHLIST,0.003,0.0195,0.0143,0.0675,-0.016,0.0142,0.014,0.0158,-0.2087,0.548,0.452,0.0001,0.0105,-0.0126,0.003,0.0096,-0.0131,41.716,E,1,14.7851,18.5266,8.4043,0.8334,Defensive,Strong,Conservative,Defensive Hold,Core Allocation,Low Risk | Defensive | Strong,62.5,Suitable for lower-risk investors seeking relatively stable core exposure. Current conditions suggest a defensive stance rather than active accumulation.
AME,MATURE,230.43,Upward,1,1.18,65,47.37,Neutral,-0.05,Low Risk,Mediate,66.9,44.1,C,Caution,Risk Mitigation,1.359868524,"WATCHLIST: Reference return -0.1%, Safety 66.9/100, Risk: Low Risk","Risk Reference Prices (Current: 230.43) | Lower Warning: 218.91, Lower Danger: 207.39, Upper Warning: 241.95, Upper Danger: 253.47",WATCHLIST,-0.0002,-0.0194,-0.0168,0.1006,0.3621,0.0179,0.0169,0.018,-0.1357,0.5,0.488,0.0013,0.0114,-0.0089,-0.0002,-0.0108,-0.0215,60.6961,C,3,25.9918,24.9516,9.7527,1.2739,Defensive,Strong,Conservative,Selective Exposure,Core Allocation,Low Risk | Defensive | Strong,59.08,Suitable for lower-risk investors seeking relatively stable core exposure. Current setup allows selective exposure under controlled sizing.
